position,xCordMain,durationCondition,durationStim,staircaseLoop.thisTrialN,staircaseLoop.stepSize,staircaseLoop.intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,staircaseRoutine.started,cross_staircase.started,cross_staircase.stopped,grating_staircase.started,key_resp_staircase.started,grating_staircase.stopped,staircaseRoutine.stopped,staircaseLoop.response,key_resp_staircase.rt,start_main.started,text_start_main.started,key_resp_start_main.started,start_main.stopped,key_resp_start_main.keys,key_resp_start_main.rt,key_resp_start_main.duration,trial.started,cross_main.started,cross_main.stopped,grating.started,key_resp_main.started,grating.stopped,trial.stopped,key_resp_main.keys,key_resp_main.rt,key_resp_main.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,0,0.8,0.5,,,,,0.03867712299688719,,0.02542863400594797,0.03867712299688719,0.5279496489965823,1.0084595780062955,1.0084595780062955,1.106607369001722,1.413301164007862,1,0.3840009289997397,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,1,0.8,0.07924465962305566,,,,,1.4627577130013378,,1.4133674659969984,1.4627577130013378,1.9568496970023261,2.4197412930079736,2.4197412930079736,2.5115484560083132,2.8790191750013037,1,0.45787610800471157,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,2,0.8,0.012559432157547895,,,,,2.8899216090067057,,2.8790840010042302,2.8899216090067057,3.3791050630097743,3.874921713999356,3.874921713999356,3.9623380130069563,4.342002222998417,1,0.46620584299671464,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,3,0.8,0.001990535852767485,,,,,4.34843624199857,,4.342066486002295,4.34843624199857,4.845632946002297,5.336993899996742,5.336993899996742,5.429632547995425,5.825037401009467,1,0.47673571700579487,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,4,0.8,0.0003154786722400964,,,,,5.831574801995885,,5.825111664002179,5.831574801995885,6.329277880999143,6.820582574000582,6.820582574000582,6.912658311004634,7.3085446629993385,1,0.47763957300048787,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,5,0.8,4.9999999999999955e-05,,,,,7.315150634996826,,7.308610141000827,7.315150634996826,7.812698491004994,8.305160210002214,8.305160210002214,8.397084666008595,8.726108436996583,1,0.41154820699011907,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,6,0.8,7.924465962305559e-06,,,,,8.732722098007798,,8.726184346000082,8.732722098007798,9.230565272999229,9.721944435004843,9.721944435004843,9.814009417008492,10.143269002001034,1,0.41089265800837893,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,7,0.8,1.2559432157547886e-06,,,,,10.14984350099985,,10.143333564003115,10.14984350099985,10.647390191006707,11.138672001005034,11.138672001005034,11.230748022004263,11.848147714001243,1,0.7044039950123988,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,8,0.4,1.9905358527674836e-07,,,,,11.859337582005537,,11.84821348200785,11.859337582005537,12.347259347996442,12.843180341995321,12.843180341995321,12.930789773003198,13.444337020002422,0,0.5974177099997178,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,9,0.4,4.999999999999993e-07,,,,,13.450931751998723,,13.444413874996826,13.450931751998723,13.948358506007935,14.440195157003473,14.440195157003473,14.53222492900386,14.894433476001723,1,0.4531585420045303,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,10,0.4,4.999999999999993e-07,,,,,14.900805733006564,,14.894495918008033,14.900805733006564,15.398410727008013,15.890192847000435,15.890192847000435,15.98211636999622,16.449217750996468,0,0.5546431580005446,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,11,0.4,1.2559432157547884e-06,,,,,16.460670069005573,,16.449289263007813,16.460670069005573,16.948726175003685,17.445934959003353,17.445934959003353,17.544007275995682,18.09546061299625,1,0.6409891229995992,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,12,0.4,1.2559432157547884e-06,,,,,18.10210910900787,,18.095533959000022,18.10210910900787,18.599727474007523,19.09172392000619,19.09172392000619,19.18320085099549,19.829043085002922,0,0.7276786950096721,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,13,0.4,3.1547867224009623e-06,,,,,19.83565507500316,,19.82912345600198,19.83565507500316,20.333611194000696,20.82520617300179,20.82520617300179,20.91676679700322,21.43569508200744,1,0.6037423539964948,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
,,,,14,0.2,3.1547867224009623e-06,,,,,21.445328208006686,,21.435774497003877,21.445328208006686,21.933350621009595,22.441987454003538,22.441987454003538,22.533515903996886,22.91915244499978,1,0.47047183000540826,,,,,,,,,,,,,,,,,,S1,2023-11-06_14h47.09.923,example_staircase,2023.2.3,None,2023-11-06 14h47.34.341476 +0200,
