K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.249934075050987,24.249934075050987,left,19.16146099497564,,,,,,,,,,,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,22,no_4,no_K,0,0,0,no,O-X-X,O-O-X,O-X-X,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/mW-R_none_O-X-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mB-M_none_O-O-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,0,0,21,,,,,,,,,43.46542454045266,50.08198687143158,50.84460387611762,50.84460387611762,50.84460387611762,51.72880858415738,51.72880858415738,right,0.4898746070684865,,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,1,per_1,per_K,1,1,1,no,B-X-X,B-O-X,B-X-X,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mB-M_none_B-O-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mW-L_none_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/m0_wW-L_B-X-X.png,0,1,1,0,,,,,,,,,52.24557757610455,58.92092537425924,59.66205887240358,59.66205887240358,59.66205887240358,60.545569363515824,60.545569363515824,left,0.3858190850587562,53.31110791733954,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,12,mem_3,mem_K,1,1,1,no,X-O-B,X-O-B,X-O-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_X-O-B.png,stimuli/mW-R_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-X.png,stimuli/mW-L_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,2,2,11,,,,,,,,,60.96250748261809,67.63605333270971,68.37466243549716,68.37466243549716,68.37466243549716,69.26200715894811,69.26200715894811,left,0.3492039628326893,62.01143019553274,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,7,per_7,per_K,1,1,1,switch,B-X-O,O-X-B,X-X-B,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_B-X-O.png,stimuli/m0_wW-R_B-X-O.png,stimuli/m0_none_B-X-O.png,stimuli/mW-R_none_B-X-O.png,stimuli/mB-R_none_B-X-O.png,stimuli/mB-R_none_O-X-B.png,stimuli/mB-R_none_X-X-B.png,stimuli/mW-L_none_X-X-B.png,stimuli/m0_none_X-X-B.png,stimuli/m0_wW-L_X-X-B.png,0,3,3,6,,,,,,,,,69.62899631774053,76.30215880880132,77.03993895766325,77.03993895766325,77.03993895766325,77.92892298230436,77.92892298230436,left,0.07404165284242481,70.67909124330617,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,24,no_6,no_K,0,0,0,no,X-X-X,X-X-O,X-X-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-R_none_X-X-X.png,stimuli/mB-R_none_X-X-O.png,stimuli/mB-R_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,4,4,23,,,,,,,,,78.02906631689984,84.70259837247431,85.43927784764674,85.43927784764674,85.43927784764674,86.32938275660854,86.32938275660854,right,0.4112022677436471,79.08359312987886,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,5,5,10,,,,,,,,,86.76242965599522,93.43876520521007,94.1746933608083,94.1746933608083,94.1746933608083,95.0621731422143,95.0621731422143,left,0.3654628787189722,87.82803346088622,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,17,mem_8,mem_K,1,1,1,switch,O-X-B,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_O-X-B.png,stimuli/mW-R_w0_O-X-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,6,6,16,,,,,,,,,95.44541736727115,102.11855836457107,102.86831086536404,102.86831086536404,102.86831086536404,103.74535205191933,103.74535205191933,left,0.13064470002427697,96.48521100147627,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,21,no_3,no_K,0,0,0,no,X-X-O,X-O-O,X-X-O,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/mW-R_none_X-X-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mB-M_none_X-O-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mW-L_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,7,7,20,,,,,,,,,103.89545782050118,110.56906013179105,111.28623288590461,111.28623288590461,111.28623288590461,112.19588365382515,112.19588365382515,right,0.3118413706542924,104.9429433378391,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,20,no_2,no_K,0,0,0,no,X-O-X,O-O-X,X-O-X,L,stimuli/blue-L.png,mB-L,m0,stimuli/m0_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/mW-R_none_X-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mB-L_none_O-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,8,8,19,,,,,,,,,112.52893831662368,119.20098441466689,119.93974686111324,119.93974686111324,119.93974686111324,120.82890668557957,120.82890668557957,right,0.022473601857200265,113.58010760997422,S2,K-M,2023-01-25_14h10.52.730,knowing_that_K_ONLY,2022.2.5,59.95606937186142,
