K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.117127905832604,13.117127905832604,left,20.346548193250783,,,,,,,,,,,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,15,mem_6,mem_K,1,1,1,no,X-B-O,X-B-X,X-X-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-R_w0_X-B-O.png,stimuli/mB-R_w0_X-B-X.png,stimuli/mB-R_w0_X-X-X.png,stimuli/mW-L_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,0,0,14,,,,,,,,,33.514978592749685,40.15231866471004,40.91143860062584,40.91143860062584,40.91143860062584,41.78000610799063,41.78000610799063,left,0.08331428514793515,,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,22,no_4,no_K,0,0,0,no,O-X-X,O-O-X,O-X-X,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/mW-R_none_O-X-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mB-M_none_O-O-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,1,1,21,,,,,,,,,41.87999802385457,48.555768318939954,49.29175646463409,49.29175646463409,49.29175646463409,50.18021180666983,50.18021180666983,left,0.01233960350509733,42.93855764588807,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,2,2,10,,,,,,,,,50.2133946622489,56.86511021805927,57.60382197762374,57.60382197762374,57.60382197762374,58.51355839986354,58.51355839986354,left,0.21472945425193757,51.264557539485395,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,9,per_9,per_K,1,1,1,switch,X-O-B,X-B-O,X-B-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-O-B.png,stimuli/m0_wW-R_X-O-B.png,stimuli/m0_none_X-O-B.png,stimuli/mW-R_none_X-O-B.png,stimuli/mB-R_none_X-O-B.png,stimuli/mB-R_none_X-B-O.png,stimuli/mB-R_none_X-B-X.png,stimuli/mW-L_none_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_wW-L_X-B-X.png,0,3,3,8,,,,,,,,,58.74665066075977,65.39968599844724,66.13736509450246,66.13736509450246,66.13736509450246,67.04693822818808,67.04693822818808,left,0.17643172258976847,59.799923456506804,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,5,per_5,per_K,1,1,1,no,X-B-O,O-B-O,X-B-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mW-L_w0_X-B-O.png,stimuli/m0_wW-R_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_wW-L_X-B-O.png,0,4,4,4,,,,,,,,,67.2462477326626,73.90005107177421,74.6366262860829,74.6366262860829,74.6366262860829,75.54639286373276,75.54639286373276,left,0.04514744086191058,68.29961741087027,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,4,per_4,per_K,1,1,1,no,O-X-B,O-O-B,O-X-B,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_O-X-B.png,stimuli/mW-R_w0_O-X-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_O-O-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mW-L_w0_O-X-B.png,stimuli/m0_wW-R_O-X-B.png,stimuli/m0_none_O-X-B.png,stimuli/m0_none_O-X-B.png,stimuli/m0_wW-L_O-X-B.png,0,5,5,3,,,,,,,,,75.61328019981738,82.28827703988645,83.0248833722435,83.0248833722435,83.0248833722435,83.913648288697,83.913648288697,left,0.007022300851531327,76.65392588556278,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,18,mem_9,mem_K,1,1,1,switch,X-O-B,X-B-O,X-X-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-O-B.png,stimuli/mW-R_w0_X-O-B.png,stimuli/mB-L_w0_X-O-B.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,6,6,17,,,,,,,,,83.94697390135843,90.59718328923918,91.33513218024746,91.33513218024746,91.33513218024746,92.24657013930846,92.24657013930846,left,0.09641393728088588,85.011498205713,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,7,per_7,per_K,1,1,1,switch,B-X-O,O-X-B,X-X-B,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_B-X-O.png,stimuli/m0_wW-R_B-X-O.png,stimuli/m0_none_B-X-O.png,stimuli/mW-R_none_B-X-O.png,stimuli/mB-R_none_B-X-O.png,stimuli/mB-R_none_O-X-B.png,stimuli/mB-R_none_X-X-B.png,stimuli/mW-L_none_X-X-B.png,stimuli/m0_none_X-X-B.png,stimuli/m0_wW-L_X-X-B.png,0,7,7,6,,,,,,,,,92.36341541807633,99.03865606815089,99.77577857172582,99.77577857172582,99.77577857172582,100.66343286982737,100.66343286982737,left,0.11224073206540197,93.41423664067406,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,14,mem_5,mem_K,1,1,1,no,O-B-X,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-X.png,stimuli/mW-R_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,8,8,13,,,,,,,,,100.79676290950738,107.4480360787129,108.18404090614058,108.18404090614058,108.18404090614058,109.09677490754984,109.09677490754984,left,0.0221622574608773,101.85081814276055,S2,T-M,2023-01-25_13h44.39.511,knowing_that_K_ONLY,2022.2.5,60.01158960467836,
