K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.325359892332926,13.325359892332926,left,12.523502627736889,,,,,,,,,,,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,24,no_6,no_K,0,0,0,no,X-X-X,X-X-O,X-X-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-R_none_X-X-X.png,stimuli/mB-R_none_X-X-O.png,stimuli/mB-R_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,0,0,23,,,,,,,,,25.905939082149416,32.53981576953083,33.2801312210504,33.2801312210504,33.2801312210504,34.169117812183686,34.169117812183686,right,0.4870353954611346,,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,1,1,10,,,,,,,,,34.68609019299038,41.35950515558943,42.09839046932757,42.09839046932757,42.09839046932757,42.98600915831048,42.98600915831048,left,0.4229307008208707,35.746941949473694,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,25,no_7,no_K,0,0,0,hide,B-X-X,B-O-O,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-L_none_B-X-X.png,stimuli/mB-L_none_B-O-O.png,stimuli/mB-L_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,2,2,24,,,,,,,,,43.43596107000485,50.08828101796098,50.84766946558375,50.84766946558375,50.84766946558375,51.7359935992863,51.7359935992863,right,0.7036833165911958,44.48706620268058,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,14,mem_5,mem_K,1,1,1,no,O-B-X,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-X.png,stimuli/mW-R_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,3,3,13,,,,,,,,,52.469372016144916,59.13938165945001,59.858126346138306,59.858126346138306,59.858126346138306,60.76947191404179,60.76947191404179,left,0.7987730482127517,53.52484583831392,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,21,no_3,no_K,0,0,0,no,X-X-O,X-O-O,X-X-O,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/mW-R_none_X-X-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mB-M_none_X-O-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mW-L_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,4,4,20,,,,,,,,,61.586135811172426,68.26053339196369,69.0002543964656,69.0002543964656,69.0002543964656,69.88607145810965,69.88607145810965,right,0.5936204456957057,62.6420946867438,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,12,mem_3,mem_K,1,1,1,no,X-O-B,X-O-B,X-O-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_X-O-B.png,stimuli/mW-R_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-X.png,stimuli/mW-L_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,5,5,11,,,,,,,,,70.50273740838747,77.17696271825116,77.89295427734032,77.89295427734032,77.89295427734032,78.80276288010646,78.80276288010646,left,0.10943087958730757,71.56707019347232,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,6,per_6,per_K,1,1,1,no,X-B-X,O-B-X,X-B-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-B-X.png,stimuli/mW-R_w0_X-B-X.png,stimuli/mB-L_w0_X-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_X-B-X.png,stimuli/mW-L_w0_X-B-X.png,stimuli/m0_wW-R_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_wW-L_X-B-X.png,0,6,6,5,,,,,,,,,78.93607591732871,85.61097330856137,86.35059293941595,86.35059293941595,86.35059293941595,87.23608566971961,87.23608566971961,left,0.2754292075987905,79.99559762631543,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,19,no_1,no_K,0,0,0,no,X-X-X,O-X-X,X-X-X,L,stimuli/blue-L.png,mB-L,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-L_none_X-X-X.png,stimuli/mB-L_none_O-X-X.png,stimuli/mB-L_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,7,7,18,,,,,,,,,87.53622855513822,94.20753937365953,94.94501732650679,94.94501732650679,94.94501732650679,95.8360859262757,95.8360859262757,right,0.1086789183318615,88.58962806791533,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,26,no_8,no_K,0,0,0,hide,X-B-O,O-B-O,X-O-X,R,stimuli/blue-R.png,mB-L,m0,stimuli/m0_w0_X-B-O.png,stimuli/m0_wW-R_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/mW-R_none_X-B-O.png,stimuli/mB-L_none_X-B-O.png,stimuli/mB-L_none_O-B-O.png,stimuli/mB-L_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,8,8,25,,,,,,,,,95.96943232696503,102.64391235413495,103.35946473444346,103.35946473444346,103.35946473444346,104.26959831023123,104.26959831023123,right,0.5152833450119942,97.02218285622075,S5,K-M,2023-01-27_13h37.00.981,knowing_that_K_ONLY,2022.2.5,59.740965125269355,
