K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.693283228203654,25.693283228203654,left,6.159191970829852,,,,,,,,,,,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,0,0,10,,,,,,,,,31.91906953137368,38.55659887683578,39.31526102742646,39.31526102742646,39.31526102742646,40.18285682389978,40.18285682389978,right,1.3494468227727339,,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,17,mem_8,mem_K,1,1,1,switch,O-X-B,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_O-X-B.png,stimuli/mW-R_w0_O-X-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,1,1,16,,,,,,,,,41.54955982672982,48.224671193398535,48.96663524932228,48.96663524932228,48.96663524932228,49.84955770953093,49.84955770953093,right,0.3233982956735417,42.613471718970686,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,18,mem_9,mem_K,1,1,1,switch,X-O-B,X-B-O,X-X-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-O-B.png,stimuli/mW-R_w0_X-O-B.png,stimuli/mB-L_w0_X-O-B.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,2,2,17,,,,,,,,,50.199564863345586,56.876952965860255,57.61456116451882,57.61456116451882,57.61456116451882,58.49970004952047,58.49970004952047,right,0.14550653321202844,51.251762649742886,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,22,no_4,no_K,0,0,0,no,O-X-X,O-O-X,O-X-X,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/mW-R_none_O-X-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mB-M_none_O-O-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,3,3,21,,,,,,,,,58.66622738097794,65.34313331719022,66.07846381759737,66.07846381759737,66.07846381759737,66.96631637157407,66.96631637157407,right,0.3258476232877001,59.720605983166024,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,1,per_1,per_K,1,1,1,no,B-X-X,B-O-X,B-X-X,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mB-M_none_B-O-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mW-L_none_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/m0_wW-L_B-X-X.png,0,4,4,0,,,,,,,,,67.31628438760526,73.99056936684065,74.73196303576697,74.73196303576697,74.73196303576697,75.61626045568846,75.61626045568846,left,0.25209222501143813,68.35737695137504,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,3,per_3,per_K,1,1,1,no,O-B-X,O-B-O,O-B-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_O-B-X.png,stimuli/m0_wW-R_O-B-X.png,stimuli/m0_none_O-B-X.png,stimuli/mW-R_none_O-B-X.png,stimuli/mB-R_none_O-B-X.png,stimuli/mB-R_none_O-B-O.png,stimuli/mB-R_none_O-B-X.png,stimuli/mW-L_none_O-B-X.png,stimuli/m0_none_O-B-X.png,stimuli/m0_wW-L_O-B-X.png,0,5,5,2,,,,,,,,,75.8996943392558,82.57404187496286,83.31088335555978,83.31088335555978,83.31088335555978,84.19968388113193,84.19968388113193,left,0.532280548941344,76.9608351389179,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,10,mem_1,mem_K,1,1,1,no,O-X-B,X-X-B,X-X-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_O-X-B.png,stimuli/mW-R_w0_O-X-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_X-X-B.png,stimuli/mB-M_w0_X-X-X.png,stimuli/mW-L_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,6,6,9,,,,,,,,,84.74950516200624,91.42611788469367,92.16322242328897,92.16322242328897,92.16322242328897,93.04942380648572,93.04942380648572,right,0.5630945983575657,85.8134096757276,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,21,no_3,no_K,0,0,0,no,X-X-O,X-O-O,X-X-O,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/mW-R_none_X-X-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mB-M_none_X-O-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mW-L_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,7,7,20,,,,,,,,,93.63300025474746,100.30596737691667,101.04592064244207,101.04592064244207,101.04592064244207,101.93302123516332,101.93302123516332,right,0.3270878460025415,94.68501582520548,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,12,mem_3,mem_K,1,1,1,no,X-O-B,X-O-B,X-O-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_X-O-B.png,stimuli/mW-R_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-B.png,stimuli/mB-M_w0_X-O-X.png,stimuli/mW-L_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,8,8,11,,,,,,,,,102.28293214831501,108.95720461616293,109.67362572986167,109.67362572986167,109.67362572986167,110.58295986568555,110.58295986568555,right,0.31810601567849517,103.33160784316715,S4,K-M,2023-01-26_13h38.44.480,knowing_that_K_ONLY,2022.2.5,60.00130887670209,
