K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,respText.stopped,keyResp.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.734973767888732,19.734973767888732,left,5.6923631123499945,,,,,,,,,,,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,9,per_9,per_K,1,1,1,switch,X-O-B,X-B-O,X-B-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-O-B.png,stimuli/m0_wW-R_X-O-B.png,stimuli/m0_none_X-O-B.png,stimuli/mW-R_none_X-O-B.png,stimuli/mB-R_none_X-O-B.png,stimuli/mB-R_none_X-B-O.png,stimuli/mB-R_none_X-B-X.png,stimuli/mW-L_none_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_wW-L_X-B-X.png,0,0,0,8,,,,,,,,,25.49247172602918,32.12880961073097,32.88535221875645,32.88535221875645,32.88535221875645,33.75686950585805,33.75686950585805,left,0.3914727568626404,,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,24,no_6,no_K,0,0,0,no,X-X-X,X-X-O,X-X-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-R_none_X-X-X.png,stimuli/mB-R_none_X-X-O.png,stimuli/mB-R_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,1,1,23,,,,,,,,,34.173316155327484,40.84669165930245,41.58326976094395,41.58326976094395,41.58326976094395,42.473532183794305,42.473532183794305,right,0.21761829475872219,35.23214364761952,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,25,no_7,no_K,0,0,0,hide,B-X-X,B-O-O,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-L_none_B-X-X.png,stimuli/mB-L_none_B-O-O.png,stimuli/mB-L_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,2,2,24,,,,,,,,,42.7238332569832,49.395889941602945,50.13291203393601,50.13291203393601,50.13291203393601,51.02363288379274,51.02363288379274,right,0.37186369963455945,43.77842904254794,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,5,per_5,per_K,1,1,1,no,X-B-O,O-B-O,X-B-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mW-L_w0_X-B-O.png,stimuli/m0_wW-R_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_wW-L_X-B-O.png,0,3,3,4,,,,,,,,,51.423983585089445,58.094277138705365,58.83253496256657,58.83253496256657,58.83253496256657,59.72378224937711,59.72378224937711,left,0.2875461974181235,52.482347517623566,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,4,4,10,,,,,,,,,60.04021645186003,66.71109129977413,67.44974916439969,67.44974916439969,67.44974916439969,68.34031282097567,68.34031282097567,left,0.2946519744582474,61.096373904380016,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,21,no_3,no_K,0,0,0,no,X-X-O,X-O-O,X-X-O,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/mW-R_none_X-X-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mB-M_none_X-O-O.png,stimuli/mB-M_none_X-X-O.png,stimuli/mW-L_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,5,5,20,,,,,,,,,68.6567091686884,75.33195912197698,76.06939986173529,76.06939986173529,76.06939986173529,76.95701502182055,76.95701502182055,right,0.262429280905053,69.71426179155242,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,27,no_9,no_K,0,0,0,hide,X-X-B,O-O-B,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_X-X-B.png,stimuli/m0_wW-R_X-X-B.png,stimuli/m0_none_X-X-B.png,stimuli/mW-R_none_X-X-B.png,stimuli/mB-M_none_X-X-B.png,stimuli/mB-M_none_O-O-B.png,stimuli/mB-M_none_X-X-O.png,stimuli/mW-L_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,6,6,26,,,,,,,,,77.24062598845921,83.91378045931924,84.65069829090498,84.65069829090498,84.65069829090498,85.5404323519906,85.5404323519906,right,0.3186419114936143,78.30394439585507,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,13,mem_4,mem_K,1,1,1,no,B-X-O,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,7,7,12,,,,,,,,,85.89036187168676,92.5627634190023,93.30078256572597,93.30078256572597,93.30078256572597,94.19051791005768,94.19051791005768,left,0.348197452374734,86.94508694065735,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,23,no_5,no_K,0,0,0,no,X-O-X,X-O-O,X-O-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/mW-R_none_X-O-X.png,stimuli/mB-R_none_X-O-X.png,stimuli/mB-R_none_X-O-O.png,stimuli/mB-R_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,8,8,22,,,,,,,,,94.5571445618989,101.228429074632,101.97013616783079,101.97013616783079,101.97013616783079,102.85687585768756,102.85687585768756,right,0.33774410060141236,95.61086231085937,,,S3,T-M,2023-01-26_09h17.38.243,knowing_that_K_ONLY,2022.2.5,59.98641388861393,
