;subj;cond;side;resp
1;S1;long;1;1
2;S1;short;1;0
3;S1;short;1;1
4;S1;long;0;0
5;S1;short;1;1
6;S1;short;0;0
7;S1;long;0;0
8;S1;long;1;1
9;S1;short;0;0
10;S1;long;1;1
11;S1;short;0;0
12;S1;short;0;0
13;S1;short;0;0
14;S1;long;1;1
15;S1;long;1;1
16;S1;long;0;0
17;S1;long;1;1
18;S1;short;0;0
19;S1;long;0;0
20;S1;short;0;0
21;S1;short;1;1
22;S1;short;0;0
23;S1;long;1;1
24;S1;short;1;0
25;S1;long;0;0
26;S1;short;1;1
27;S1;short;1;1
28;S1;long;0;0
29;S1;long;1;1
30;S1;short;0;0
31;S1;short;1;0
32;S1;short;1;1
33;S1;short;1;0
34;S1;long;1;1
35;S1;long;0;0
36;S1;long;0;0
37;S1;short;0;0
38;S1;short;0;0
39;S1;short;1;1
40;S1;short;1;0
41;S1;short;0;1
42;S1;short;1;0
43;S1;short;1;1
44;S1;short;0;1
45;S1;short;0;0
46;S1;long;1;1
47;S1;long;1;1
48;S1;short;0;0
49;S1;short;0;0
50;S1;long;0;0
51;S1;long;1;1
52;S1;long;1;1
53;S1;short;0;0
54;S1;short;1;1
55;S1;long;1;1
56;S1;long;1;1
57;S1;short;1;1
58;S1;long;0;0
59;S1;long;0;0
60;S1;long;0;0
61;S1;long;1;1
62;S1;short;0;0
63;S1;short;1;1
64;S1;short;1;1
65;S1;long;0;0
66;S1;long;1;1
67;S1;short;1;1
68;S1;short;0;0
69;S1;long;0;0
70;S1;long;1;1
71;S1;short;1;0
72;S1;short;0;1
73;S1;long;0;0
74;S1;long;0;0
75;S1;long;1;1
76;S1;long;0;0
77;S1;long;0;0
78;S1;long;1;1
79;S1;long;0;0
80;S1;long;0;0
