,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
0,475,S4,T-A,1.0,mem_K,mem_10,50.0,1.0,left,0.8936222190968692
1,476,S4,T-A,2.0,mem_K,mem_2,42.0,0.0,right,0.4999666673829779
2,477,S4,T-A,3.0,per_K,per_3,31.0,1.0,left,0.3791662135627121
3,478,S4,T-A,4.0,per_K,per_7,35.0,1.0,left,0.4231139202602207
4,479,S4,T-A,5.0,per_K,per_10,38.0,1.0,left,0.2979669125052169
5,480,S4,T-A,6.0,mem_K,mem_3,43.0,0.0,right,0.2816120765637606
6,481,S4,T-A,7.0,per_K,per_9,37.0,1.0,left,0.304528608219698
7,482,S4,T-A,8.0,mem_K,mem_6,46.0,0.0,right,0.3035950728226453
8,483,S4,T-A,9.0,mem_K,mem_7,47.0,0.0,right,0.2787848435109481
9,484,S4,T-A,10.0,per_K,per_1,29.0,1.0,left,0.3022367947269231
10,485,S4,T-A,11.0,mem_K,mem_12,52.0,1.0,left,0.2693269421579316
11,486,S4,T-A,12.0,mem_K,mem_8,48.0,0.0,right,0.3098821616731584
12,487,S4,T-A,13.0,per_K,per_12,40.0,1.0,left,0.2993146040244028
13,488,S4,T-A,14.0,mem_K,mem_1,41.0,0.0,right,0.314895984949544
14,489,S4,T-A,15.0,per_K,per_8,36.0,1.0,left,0.2987602573120966
15,490,S4,T-A,16.0,mem_K,mem_4,44.0,0.0,right,0.3052763991290703
16,491,S4,T-A,17.0,mem_K,mem_5,45.0,0.0,right,0.7434394578449428
17,492,S4,T-A,18.0,per_K,per_2,30.0,1.0,left,0.2938365794252604
18,493,S4,T-A,19.0,mem_K,mem_9,49.0,0.0,right,0.2845166231272742
19,494,S4,T-A,20.0,per_K,per_4,32.0,1.0,left,0.2915482945973053
20,495,S4,T-A,21.0,per_K,per_5,33.0,1.0,left,0.2914125950774178
21,496,S4,T-A,22.0,per_K,per_11,39.0,1.0,left,0.3219068043399602
22,497,S4,T-A,23.0,per_K,per_6,34.0,1.0,left,0.3451152663910761
23,498,S4,T-A,24.0,mem_K,mem_11,51.0,1.0,left,0.4133791661588475
24,499,S4,T-A,25.0,per_K,per_12,40.0,1.0,left,0.3925000517629087
25,500,S4,T-A,26.0,per_K,per_6,34.0,1.0,left,0.3397649211110547
26,501,S4,T-A,27.0,mem_K,mem_2,42.0,0.0,right,0.2976467515109107
27,502,S4,T-A,28.0,mem_K,mem_11,51.0,1.0,left,0.2885032367194071
28,503,S4,T-A,29.0,mem_K,mem_6,46.0,0.0,right,0.3038449779851362
29,504,S4,T-A,30.0,mem_K,mem_4,44.0,0.0,right,0.342562640318647
30,505,S4,T-A,31.0,per_K,per_7,35.0,1.0,left,0.4035096751758829
31,506,S4,T-A,32.0,mem_K,mem_7,47.0,0.0,right,0.3099581917049363
32,507,S4,T-A,33.0,per_K,per_8,36.0,1.0,left,0.2928029535105452
33,508,S4,T-A,34.0,per_K,per_2,30.0,1.0,left,0.260817012283951
34,509,S4,T-A,35.0,mem_K,mem_9,49.0,0.0,right,0.3098305123858154
35,510,S4,T-A,36.0,per_K,per_1,29.0,1.0,left,0.3155898809200153
36,511,S4,T-A,37.0,mem_K,mem_3,43.0,0.0,right,0.2986627332866192
37,512,S4,T-A,38.0,per_K,per_3,31.0,1.0,left,0.3305893258657306
38,513,S4,T-A,39.0,mem_K,mem_8,48.0,0.0,right,0.2961280721938237
39,514,S4,T-A,40.0,per_K,per_10,38.0,1.0,left,0.2637459398247301
40,515,S4,T-A,41.0,per_K,per_9,37.0,1.0,left,0.2874137910548597
41,516,S4,T-A,42.0,mem_K,mem_10,50.0,1.0,left,0.263620185200125
42,517,S4,T-A,43.0,mem_K,mem_12,52.0,1.0,right,0.2875491697341203
43,518,S4,T-A,44.0,mem_K,mem_1,41.0,0.0,right,0.2795493160374462
44,519,S4,T-A,45.0,per_K,per_11,39.0,1.0,left,0.4650813125772401
45,520,S4,T-A,46.0,per_K,per_5,33.0,1.0,left,0.2727364317979663
46,521,S4,T-A,47.0,mem_K,mem_5,45.0,0.0,right,0.712058229604736
47,522,S4,T-A,48.0,per_K,per_4,32.0,1.0,left,0.6155701194657013
48,523,S4,T-A,49.0,mem_K,mem_2,42.0,0.0,right,0.521713232039474
49,524,S4,T-A,50.0,per_K,per_8,36.0,1.0,left,0.7026721879374236
50,525,S4,T-A,51.0,mem_K,mem_1,41.0,0.0,right,0.469052848406136
51,526,S4,T-A,52.0,per_K,per_12,40.0,1.0,left,0.2845814252505079
52,527,S4,T-A,53.0,mem_K,mem_3,43.0,0.0,right,0.3088892776286229
53,528,S4,T-A,54.0,mem_K,mem_12,52.0,1.0,left,0.4111932176165283
54,529,S4,T-A,55.0,per_K,per_7,35.0,1.0,left,0.3017077912809327
55,530,S4,T-A,56.0,per_K,per_1,29.0,1.0,left,0.4613747596740722
56,531,S4,T-A,57.0,mem_K,mem_6,46.0,0.0,right,0.4851940297521651
57,532,S4,T-A,58.0,per_K,per_5,33.0,1.0,left,0.5814883750863373
58,533,S4,T-A,59.0,per_K,per_4,32.0,1.0,left,0.5446313677821308
59,534,S4,T-A,60.0,mem_K,mem_11,51.0,1.0,left,0.54933272942435
60,535,S4,T-A,61.0,per_K,per_6,34.0,1.0,left,0.3317778994096443
61,536,S4,T-A,62.0,mem_K,mem_5,45.0,0.0,right,0.3686256036162376
62,537,S4,T-A,63.0,mem_K,mem_8,48.0,0.0,right,0.5172271289629862
63,538,S4,T-A,64.0,per_K,per_10,38.0,1.0,left,0.4192059033084661
64,539,S4,T-A,65.0,mem_K,mem_9,49.0,0.0,right,0.3419807044556364
65,540,S4,T-A,66.0,mem_K,mem_7,47.0,0.0,right,0.339095406117849
66,541,S4,T-A,67.0,per_K,per_9,37.0,1.0,left,0.3197503694100305
67,542,S4,T-A,68.0,mem_K,mem_4,44.0,0.0,right,0.6950669214129448
68,543,S4,T-A,69.0,per_K,per_11,39.0,1.0,left,0.3818054563598707
69,544,S4,T-A,70.0,mem_K,mem_10,50.0,1.0,left,0.401736278552562
70,545,S4,T-A,71.0,per_K,per_3,31.0,1.0,left,0.4279583598254248
71,546,S4,T-A,72.0,per_K,per_2,30.0,1.0,left,0.4547556402394548
72,548,S4,B-A,1.0,mem_K,mem_5,45.0,1.0,left,0.493315159343183
73,549,S4,B-A,2.0,mem_K,mem_2,42.0,1.0,left,0.3085113846464082
74,550,S4,B-A,3.0,per_K,per_1,29.0,0.0,right,0.339361363905482
75,551,S4,B-A,4.0,per_K,per_9,37.0,0.0,right,0.5524769279872999
76,552,S4,B-A,5.0,mem_K,mem_9,49.0,1.0,left,0.6453139840159565
77,553,S4,B-A,6.0,mem_K,mem_6,46.0,1.0,left,0.30221210536547
78,554,S4,B-A,7.0,mem_K,mem_8,48.0,1.0,left,0.3649934893473983
79,555,S4,B-A,8.0,per_K,per_8,36.0,0.0,right,0.3540525176795199
80,556,S4,B-A,9.0,per_K,per_7,35.0,0.0,right,0.2794623910449445
81,557,S4,B-A,10.0,mem_K,mem_11,51.0,1.0,right,1.0152939851395786
82,558,S4,B-A,11.0,mem_K,mem_10,50.0,1.0,left,0.5606631679693237
83,559,S4,B-A,12.0,mem_K,mem_7,47.0,1.0,left,0.3184963647508994
84,560,S4,B-A,13.0,mem_K,mem_3,43.0,1.0,left,0.4357112081488594
85,561,S4,B-A,14.0,per_K,per_3,31.0,0.0,right,0.6295446127187461
86,562,S4,B-A,15.0,per_K,per_10,38.0,1.0,left,0.3026830435264855
87,563,S4,B-A,16.0,mem_K,mem_4,44.0,1.0,left,0.2856221213005483
88,564,S4,B-A,17.0,mem_K,mem_1,41.0,1.0,left,0.245553238550201
89,565,S4,B-A,18.0,per_K,per_2,30.0,0.0,right,0.462887356407009
90,566,S4,B-A,19.0,per_K,per_4,32.0,0.0,right,0.3026583418250084
91,567,S4,B-A,20.0,per_K,per_12,40.0,1.0,left,0.3259694605367258
92,568,S4,B-A,21.0,per_K,per_5,33.0,0.0,right,0.2837396517861634
93,569,S4,B-A,22.0,per_K,per_6,34.0,0.0,right,0.2606210145168006
94,570,S4,B-A,23.0,per_K,per_11,39.0,1.0,left,0.6295882419217378
