,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
0,1,S3,B-M,1.0,mem_K,mem_3,12.0,1.0,left,0.6782492018537596
1,2,S3,B-M,2.0,per_K,per_5,5.0,1.0,left,0.4296313797822222
2,3,S3,B-M,3.0,per_K,per_8,8.0,1.0,left,0.5198866166174412
3,4,S3,B-M,4.0,mem_K,mem_6,15.0,1.0,left,0.3258116476936266
4,5,S3,B-M,5.0,no_K,no_10,28.0,0.0,right,0.9483989718137308
5,6,S3,B-M,6.0,no_K,no_7,25.0,0.0,right,0.3376887212507427
6,7,S3,B-M,7.0,mem_K,mem_2,11.0,1.0,left,0.3110479925526306
7,8,S3,B-M,8.0,mem_K,mem_7,16.0,1.0,left,0.3490409618243575
8,9,S3,B-M,9.0,mem_K,mem_4,13.0,1.0,left,0.3153403309406712
9,10,S3,B-M,10.0,per_K,per_9,9.0,1.0,left,0.2496531172655522
10,11,S3,B-M,11.0,per_K,per_7,7.0,1.0,left,0.4503484889864921
11,12,S3,B-M,12.0,mem_K,mem_8,17.0,1.0,left,0.2837002149317413
12,13,S3,B-M,13.0,no_K,no_5,23.0,0.0,right,0.3248402575263753
13,14,S3,B-M,14.0,per_K,per_1,1.0,1.0,left,0.6507891434011981
14,15,S3,B-M,15.0,per_K,per_2,2.0,1.0,left,0.2915409506531432
15,16,S3,B-M,16.0,per_K,per_6,6.0,1.0,left,0.2335988733684644
16,17,S3,B-M,17.0,no_K,no_9,27.0,0.0,right,0.2773537776665762
17,18,S3,B-M,18.0,no_K,no_1,19.0,0.0,right,0.2854447392746806
18,19,S3,B-M,19.0,no_K,no_8,26.0,0.0,right,1.052526674233377
19,20,S3,B-M,20.0,per_K,per_3,3.0,1.0,left,0.2916570811066776
20,21,S3,B-M,21.0,mem_K,mem_5,14.0,1.0,left,0.3322139045922085
21,22,S3,B-M,22.0,per_K,per_4,4.0,1.0,left,0.3374025652883574
22,23,S3,B-M,23.0,no_K,no_2,20.0,0.0,right,0.318692717817612
23,24,S3,B-M,24.0,no_K,no_3,21.0,0.0,right,0.3002776878420263
24,25,S3,B-M,25.0,no_K,no_6,24.0,0.0,right,0.3078377211932093
25,26,S3,B-M,26.0,mem_K,mem_1,10.0,1.0,left,0.3148254427360371
26,27,S3,B-M,27.0,mem_K,mem_9,18.0,1.0,left,0.265679772128351
27,28,S3,B-M,28.0,no_K,no_4,22.0,0.0,right,0.3461761948419735
28,29,S3,B-M,29.0,no_K,no_10,28.0,0.0,right,0.3115378580987453
29,30,S3,B-M,30.0,per_K,per_6,6.0,1.0,left,0.3419037462444976
30,31,S3,B-M,31.0,no_K,no_8,26.0,0.0,right,0.2524088113568723
31,32,S3,B-M,32.0,mem_K,mem_3,12.0,1.0,left,0.2758097549667582
32,33,S3,B-M,33.0,no_K,no_1,19.0,0.0,right,0.8835606017382815
33,34,S3,B-M,34.0,per_K,per_7,7.0,1.0,left,1.6135474937036631
34,35,S3,B-M,35.0,no_K,no_7,25.0,0.0,right,0.1826932798139751
35,36,S3,B-M,36.0,mem_K,mem_5,14.0,1.0,left,0.3550553685054183
36,37,S3,B-M,37.0,mem_K,mem_2,11.0,1.0,left,0.3346690066391602
37,38,S3,B-M,38.0,mem_K,mem_4,13.0,1.0,left,0.2529387772083282
38,39,S3,B-M,39.0,mem_K,mem_9,18.0,1.0,left,0.3247071243822574
39,40,S3,B-M,40.0,no_K,no_3,21.0,0.0,right,0.2438180393073707
40,41,S3,B-M,41.0,no_K,no_5,23.0,0.0,right,0.2125080291880294
41,42,S3,B-M,42.0,per_K,per_2,2.0,1.0,left,0.2959580811439082
42,43,S3,B-M,43.0,mem_K,mem_7,16.0,1.0,left,0.2625346237327903
43,44,S3,B-M,44.0,no_K,no_4,22.0,0.0,right,0.5119149935198948
44,45,S3,B-M,45.0,mem_K,mem_1,10.0,1.0,left,0.5021635578013957
45,46,S3,B-M,46.0,per_K,per_9,9.0,1.0,left,0.3164262475911528
46,47,S3,B-M,47.0,no_K,no_2,20.0,0.0,right,0.3802896986017003
47,48,S3,B-M,48.0,mem_K,mem_6,15.0,1.0,left,0.3764028546866029
48,49,S3,B-M,49.0,per_K,per_8,8.0,1.0,left,0.3318433775566518
49,50,S3,B-M,50.0,mem_K,mem_8,17.0,1.0,left,0.2723938490962609
50,51,S3,B-M,51.0,no_K,no_6,24.0,0.0,right,0.2968303433153778
51,52,S3,B-M,52.0,per_K,per_3,3.0,1.0,left,0.2395154351834207
52,53,S3,B-M,53.0,no_K,no_9,27.0,0.0,right,0.2733110237168148
53,54,S3,B-M,54.0,per_K,per_1,1.0,1.0,left,0.3289253573166206
54,55,S3,B-M,55.0,per_K,per_5,5.0,1.0,left,0.3123315236298367
55,56,S3,B-M,56.0,per_K,per_4,4.0,1.0,left,0.366042535752058
56,57,S3,B-M,57.0,per_K,per_7,7.0,1.0,left,0.3153692031046375
57,58,S3,B-M,58.0,mem_K,mem_1,10.0,1.0,left,0.3216671992558986
58,59,S3,B-M,59.0,per_K,per_9,9.0,1.0,left,0.3351450776681304
59,60,S3,B-M,60.0,per_K,per_8,8.0,1.0,left,0.2859689308097586
60,61,S3,B-M,61.0,no_K,no_6,24.0,0.0,right,0.500666051520966
