,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
0,949,S5,T-M,1.0,mem_K,mem_9,18.0,1.0,right,0.9911900379229336
1,950,S5,T-M,2.0,per_K,per_3,3.0,1.0,left,0.547267610556446
2,951,S5,T-M,3.0,mem_K,mem_7,16.0,1.0,left,0.4321472869487479
3,952,S5,T-M,4.0,mem_K,mem_5,14.0,1.0,left,0.5058827956672758
4,953,S5,T-M,5.0,mem_K,mem_3,12.0,1.0,left,0.4171391803538427
5,954,S5,T-M,6.0,mem_K,mem_8,17.0,1.0,left,0.4683687845245003
6,955,S5,T-M,7.0,no_K,no_1,19.0,0.0,right,0.6599418142577633
7,956,S5,T-M,8.0,no_K,no_6,24.0,0.0,right,0.7095324380788952
8,957,S5,T-M,9.0,no_K,no_8,26.0,0.0,right,0.7148686681175604
9,958,S5,T-M,10.0,no_K,no_10,28.0,0.0,right,0.6818086799466982
10,959,S5,T-M,11.0,per_K,per_6,6.0,1.0,left,0.4743482236517593
11,960,S5,T-M,12.0,per_K,per_2,2.0,1.0,left,0.449042996042408
12,961,S5,T-M,13.0,no_K,no_9,27.0,0.0,right,0.7799245422938839
13,962,S5,T-M,14.0,mem_K,mem_4,13.0,1.0,right,0.5185496850172058
14,963,S5,T-M,15.0,per_K,per_4,4.0,1.0,left,0.2847410719841718
15,964,S5,T-M,16.0,per_K,per_5,5.0,1.0,left,0.4450105077121407
16,965,S5,T-M,17.0,no_K,no_5,23.0,0.0,right,0.5259361643111333
17,966,S5,T-M,18.0,no_K,no_4,22.0,0.0,right,0.6919697806006297
18,967,S5,T-M,19.0,per_K,per_9,9.0,1.0,left,0.2987373674986884
19,968,S5,T-M,20.0,per_K,per_1,1.0,1.0,left,0.3315477712312713
20,969,S5,T-M,21.0,no_K,no_7,25.0,0.0,right,0.3363469776231795
21,970,S5,T-M,22.0,mem_K,mem_2,11.0,1.0,left,0.398542576120235
22,971,S5,T-M,23.0,no_K,no_3,21.0,0.0,right,0.6092463464010507
23,972,S5,T-M,24.0,per_K,per_8,8.0,1.0,left,0.5232860143296421
24,973,S5,T-M,25.0,mem_K,mem_1,10.0,1.0,left,0.5064140446484089
25,974,S5,T-M,26.0,mem_K,mem_6,15.0,1.0,left,0.5366567445453256
26,975,S5,T-M,27.0,no_K,no_2,20.0,0.0,right,0.4371492406353354
27,976,S5,T-M,28.0,per_K,per_7,7.0,1.0,left,0.4784637998091057
28,977,S5,T-M,29.0,mem_K,mem_7,16.0,1.0,left,0.2875817788299173
29,978,S5,T-M,30.0,per_K,per_9,9.0,1.0,left,0.261975317611359
30,979,S5,T-M,31.0,no_K,no_3,21.0,0.0,right,0.2958501443499699
31,980,S5,T-M,32.0,per_K,per_1,1.0,1.0,left,0.3189004505984485
32,981,S5,T-M,33.0,mem_K,mem_1,10.0,1.0,left,0.3252876298502087
33,982,S5,T-M,34.0,no_K,no_8,26.0,0.0,right,0.4588505722349509
34,983,S5,T-M,35.0,mem_K,mem_9,18.0,1.0,right,0.331708172452636
35,984,S5,T-M,36.0,no_K,no_2,20.0,0.0,right,0.6487775640562177
36,985,S5,T-M,37.0,per_K,per_2,2.0,1.0,left,0.274281945778057
37,986,S5,T-M,38.0,no_K,no_5,23.0,0.0,right,0.34657288051676
38,987,S5,T-M,39.0,mem_K,mem_6,15.0,1.0,right,0.5606239046901464
39,988,S5,T-M,40.0,per_K,per_8,8.0,1.0,left,0.2917817260604352
40,989,S5,T-M,41.0,per_K,per_3,3.0,1.0,left,0.5234213928924873
41,990,S5,T-M,42.0,no_K,no_4,22.0,0.0,right,0.5211937399581075
42,991,S5,T-M,43.0,no_K,no_9,27.0,0.0,right,0.5676488393219188
43,992,S5,T-M,44.0,no_K,no_1,19.0,0.0,right,0.5243594197090715
44,993,S5,T-M,45.0,per_K,per_7,7.0,1.0,left,0.2816154926549643
45,994,S5,T-M,46.0,no_K,no_10,28.0,0.0,right,0.4099698845529929
46,995,S5,T-M,47.0,no_K,no_6,24.0,0.0,right,0.5880441836779937
47,996,S5,T-M,48.0,per_K,per_4,4.0,1.0,left,0.2873447056626901
48,997,S5,T-M,49.0,per_K,per_5,5.0,1.0,left,0.5982851641019806
49,998,S5,T-M,50.0,mem_K,mem_5,14.0,1.0,right,0.5767256272956729
50,999,S5,T-M,51.0,no_K,no_7,25.0,0.0,right,0.493622042122297
51,1000,S5,T-M,52.0,mem_K,mem_2,11.0,1.0,right,0.6455923152389005
52,1001,S5,T-M,53.0,per_K,per_6,6.0,1.0,left,0.3737673143623397
53,1002,S5,T-M,54.0,mem_K,mem_8,17.0,1.0,left,0.4019748427672311
