,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
64,545,S2,T-A,65.0,per_K,per_7,35.0,1.0,left,0.3902537629473954
65,546,S2,T-A,66.0,per_K,per_6,34.0,1.0,left,0.4415802494622767
66,547,S2,T-A,67.0,mem_K,mem_9,49.0,0.0,right,0.4432118512922898
67,548,S2,T-A,68.0,mem_K,mem_7,47.0,0.0,right,0.9883250336861238
68,549,S2,T-A,69.0,mem_K,mem_5,45.0,0.0,right,0.0801762633491307
69,550,S2,T-A,70.0,per_K,per_4,32.0,1.0,left,0.0481640164507553
70,551,S2,T-A,71.0,mem_K,mem_12,52.0,1.0,left,0.4257999709807336
71,552,S2,T-A,72.0,mem_K,mem_1,41.0,0.0,right,0.8278583044884726
72,554,S2,B-A,1.0,mem_K,mem_1,41.0,1.0,right,1.1529493702109903
73,555,S2,B-A,2.0,mem_K,mem_10,50.0,1.0,left,0.5104254494654015
74,556,S2,B-A,3.0,mem_K,mem_12,52.0,1.0,left,0.2925610451493412
75,557,S2,B-A,4.0,mem_K,mem_5,45.0,1.0,right,1.1480327498866243
76,558,S2,B-A,5.0,per_K,per_2,30.0,0.0,right,0.2485235136700794
77,559,S2,B-A,6.0,mem_K,mem_2,42.0,1.0,left,0.3953769858926534
78,560,S2,B-A,7.0,mem_K,mem_9,49.0,1.0,left,0.2540884759509936
79,561,S2,B-A,8.0,per_K,per_5,33.0,0.0,right,0.1591986042913049
80,562,S2,B-A,9.0,per_K,per_7,35.0,0.0,right,0.5706028789281845
81,563,S2,B-A,10.0,mem_K,mem_6,46.0,1.0,right,0.967699679895304
82,564,S2,B-A,11.0,per_K,per_11,39.0,1.0,left,0.0593500871909782
83,565,S2,B-A,12.0,per_K,per_12,40.0,1.0,left,0.4198705829912796
84,566,S2,B-A,13.0,per_K,per_9,37.0,0.0,right,0.1171144397230818
85,567,S2,B-A,14.0,mem_K,mem_8,48.0,1.0,left,0.260891736135818
86,568,S2,B-A,15.0,per_K,per_4,32.0,0.0,right,0.0207957135280594
