,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
0,1,S1,B-M,1.0,per_K,per_9,9.0,1.0,right,1.2706749500357546
1,2,S1,B-M,2.0,mem_K,mem_2,11.0,1.0,left,0.6469728370429948
2,3,S1,B-M,3.0,per_K,per_1,1.0,1.0,left,0.7124691731878556
3,4,S1,B-M,4.0,mem_K,mem_7,16.0,1.0,left,0.0150341180269606
4,5,S1,B-M,5.0,mem_K,mem_4,13.0,1.0,right,2.0494331361260265
5,6,S1,B-M,6.0,no_K,no_4,22.0,0.0,right,0.5706837400794029
6,7,S1,B-M,7.0,no_K,no_2,20.0,0.0,right,1.4940850685816258
7,8,S1,B-M,8.0,no_K,no_7,25.0,0.0,right,1.5498411969747394
8,9,S1,B-M,9.0,no_K,no_6,24.0,0.0,right,0.2522169325384311
9,10,S1,B-M,10.0,no_K,no_8,26.0,0.0,right,1.1962651144713163
10,11,S1,B-M,11.0,no_K,no_5,23.0,0.0,right,0.8234193839598447
11,12,S1,B-M,12.0,mem_K,mem_1,10.0,1.0,left,0.4734106260584667
12,13,S1,B-M,13.0,per_K,per_5,5.0,1.0,left,0.4741827978868969
13,14,S1,B-M,14.0,no_K,no_10,28.0,0.0,right,1.2573189766262658
14,15,S1,B-M,15.0,per_K,per_8,8.0,1.0,right,2.6741342283203267
15,16,S1,B-M,16.0,no_K,no_1,19.0,0.0,right,0.6108389186556451
16,17,S1,B-M,17.0,no_K,no_9,27.0,0.0,right,0.4683230180526152
17,18,S1,B-M,18.0,per_K,per_6,6.0,1.0,left,0.6927811985951848
18,19,S1,B-M,19.0,mem_K,mem_8,17.0,1.0,left,0.7159405777929351
19,20,S1,B-M,20.0,per_K,per_4,4.0,1.0,left,0.3474725191481411
20,21,S1,B-M,21.0,per_K,per_3,3.0,1.0,left,0.2807994792237878
21,22,S1,B-M,22.0,mem_K,mem_5,14.0,1.0,left,0.568708558625076
22,23,S1,B-M,23.0,mem_K,mem_9,18.0,1.0,left,0.6045235992060043
23,24,S1,B-M,24.0,no_K,no_3,21.0,0.0,right,0.0069903144030831
24,25,S1,B-M,25.0,mem_K,mem_3,12.0,1.0,left,2.130045047728345
25,26,S1,B-M,26.0,per_K,per_7,7.0,1.0,None,
26,27,S1,B-M,27.0,mem_K,mem_6,15.0,1.0,left,1.468435619783122
27,28,S1,B-M,28.0,per_K,per_2,2.0,1.0,left,0.4198683561407961
28,30,S1,B-M,1.0,mem_K,mem_6,15.0,1.0,left,0.3134704437106848
29,31,S1,B-M,2.0,no_K,no_7,25.0,0.0,right,0.3033892228850163
30,32,S1,B-M,3.0,per_K,per_7,7.0,1.0,left,1.590451704338193
31,33,S1,B-M,4.0,no_K,no_5,23.0,0.0,right,0.8416029043728486
32,34,S1,B-M,5.0,per_K,per_2,2.0,1.0,left,1.0826273296261206
33,35,S1,B-M,6.0,mem_K,mem_7,16.0,1.0,left,0.3316195283550769
34,36,S1,B-M,7.0,no_K,no_3,21.0,0.0,right,0.5295168600277975
35,37,S1,B-M,8.0,per_K,per_6,6.0,1.0,left,0.0865468955016695
36,38,S1,B-M,9.0,mem_K,mem_4,13.0,1.0,left,0.0469957881141454
37,39,S1,B-M,10.0,per_K,per_9,9.0,1.0,left,0.9677392672747374
38,40,S1,B-M,11.0,per_K,per_3,3.0,1.0,left,0.9798437898862176
39,41,S1,B-M,12.0,mem_K,mem_5,14.0,1.0,right,0.8878764296532609
40,42,S1,B-M,13.0,mem_K,mem_2,11.0,1.0,left,0.2957149838330224
41,43,S1,B-M,14.0,no_K,no_9,27.0,0.0,right,0.2701338659971952
42,44,S1,B-M,15.0,mem_K,mem_3,12.0,1.0,left,0.1019098098040558
43,45,S1,B-M,16.0,no_K,no_4,22.0,0.0,right,0.3563675219193101
44,46,S1,B-M,17.0,per_K,per_8,8.0,1.0,left,1.2101325571420605
45,47,S1,B-M,18.0,mem_K,mem_8,17.0,1.0,left,0.3963151412317529
46,48,S1,B-M,19.0,no_K,no_1,19.0,0.0,right,0.9275237777619624
47,49,S1,B-M,20.0,no_K,no_8,26.0,0.0,right,0.5495679830783047
48,50,S1,B-M,21.0,per_K,per_5,5.0,1.0,left,0.2344561289064586
49,51,S1,B-M,22.0,mem_K,mem_1,10.0,1.0,left,0.2756587278563529
50,52,S1,B-M,23.0,no_K,no_10,28.0,0.0,right,0.5402534804889001
