trialNo,condition,opacityValue,onsetLatency,stimStartValue,stimShape,stimPath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,inst_text.started,inst_resp.started,welcome.stopped,inst_resp.keys,inst_resp.rt,inst_resp.duration,trial.started,cross.started,cross.stopped,stimulus.started,key_resp.started,stimulus.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,key_resp.stopped,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.006801099982112646,0.023840000154450536,0.023840000154450536,7.322798100067303,space,7.296993999974802,None,,,,,,,,,,,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
17,high,1,0.5,1.5,heptagon,./stimuli/heptagon.png,0,0,0,16,7.3712935000658035,,,,,,,,,7.353301700204611,7.3712935000658035,8.370640200097114,8.851564400130883,8.851564400130883,9.05420730006881,9.321818700060248,space,0.46158299990929663,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
21,low,0.05,0.5,1.5,triangle,./stimuli/triangle.png,0,1,1,20,9.337853400036693,,,,,,,,,9.322390800109133,9.337853400036693,10.337663300102577,10.837498600129038,10.837498600129038,11.037478900048882,12.821136800106615,None,,,12.837452300125733,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
6,high,1,1,2,circle,./stimuli/circle.png,0,2,2,5,12.837452300125733,,,,,,,,,12.821597100002691,12.837452300125733,13.837330400012434,14.820647400105372,14.820647400105372,15.020532099995762,15.121267599985003,space,0.28765369998291135,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
44,catch,0,2,3,catch,./stimuli/catch.png,0,3,3,43,15.13748940010555,,,,,,,,,15.121656800154597,15.13748940010555,16.137178600067273,18.137102800188586,18.137102800188586,18.337066299980506,20.12092400016263,None,,,20.137214499991387,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
7,high,1,1.5,2.5,circle,./stimuli/circle.png,0,4,4,6,20.137214499991387,,,,,,,,,20.121190699981526,20.137214499991387,21.136869800044224,22.637190000154078,22.637190000154078,22.836673400131986,22.954220100073144,space,0.3129610999021679,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
14,high,1,1,2,pentagon,./stimuli/pentagon.png,0,5,5,13,22.970529300160706,,,,,,,,,22.954638400115073,22.970529300160706,23.970573200145736,24.9538290000055,24.9538290000055,25.15360950003378,25.337509300094098,space,0.3722376001533121,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
8,high,1,2,3,circle,./stimuli/circle.png,0,6,6,7,25.353662200039253,,,,,,,,,25.337846100097522,25.353662200039253,26.354273400036618,28.336951300036162,28.336951300036162,28.536746200174093,28.787770400056615,space,0.4378581000491977,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
28,low,0.05,2,3,circle,./stimuli/circle.png,0,7,7,27,28.803962300065905,,,,,,,,,28.78810690017417,28.803962300065905,29.80325120012276,31.803426900180057,31.803426900180057,32.00302699999884,32.12169280019589,space,0.316326400032267,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
34,low,0.05,1,2,pentagon,./stimuli/pentagon.png,0,8,8,33,32.136918200179935,,,,,,,,,32.1221098001115,32.136918200179935,33.1367832000833,34.13667340017855,34.13667340017855,34.33647770015523,34.57094320002943,space,0.4201783000025898,None,,,,,,S3,2023-10-30_14h05.52.904,example_experiment,2023.2.3,60.00812514804183,2023-10-30 14h06.05.779854 +0200,
