trialNo,condition,opacityValue,onsetLatency,stimStartValue,stimShape,stimPath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,inst_text.started,inst_resp.started,welcome.stopped,inst_resp.keys,inst_resp.rt,inst_resp.duration,trial.started,cross.started,cross.stopped,stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,stimulus.stopped,key_resp.stopped,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.018741235999186756,0.03144738300034078,0.03144738300034078,7.071896829002071,space,7.027009436998924,None,,,,,,,,,,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
20,high,1,2,3,heptagon,./stimuli/heptagon.png,0,0,0,19,7.145668288001616,,,,,,,,,7.106770107002376,7.145668288001616,8.139545468002325,10.068386980001378,10.068386980001378,10.319407140999829,space,0.2405375060006918,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
34,low,0.05,1,2,pentagon,./stimuli/pentagon.png,0,1,1,33,10.360897697999462,,,,,,,,,10.320108079002239,10.360897697999462,11.356632986000477,12.318669070002215,12.318669070002215,12.675865730001533,space,0.3531767189997481,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
43,catch,0,2,3,catch,./stimuli/catch.png,0,2,2,42,12.705981041999621,,,,,,,,,12.676462636001816,12.705981041999621,13.703056210000796,15.67512430699935,15.67512430699935,17.6599551649997,None,,,16.17003841100086,17.68748093999966,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
18,high,1,1,2,heptagon,./stimuli/heptagon.png,0,3,3,17,17.68748093999966,,,,,,,,,17.66040792700005,17.68748093999966,18.675803407000785,19.65454888900058,19.65454888900058,19.943541929002095,space,0.28457506600170746,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
11,high,1,1.5,2.5,square,./stimuli/square.png,0,4,4,10,19.980691004002438,,,,,,,,,19.943883412001014,19.980691004002438,20.97610566000003,22.438179577999108,22.438179577999108,22.90628740000102,space,0.4602317999997467,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
14,high,1,1,2,pentagon,./stimuli/pentagon.png,0,5,5,13,22.942505353999877,,,,,,,,,22.906729338999867,22.942505353999877,23.93915233200096,24.894531770001777,24.894531770001777,25.173333606002416,space,0.2764009150014317,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
4,high,1,2,3,triangle,./stimuli/triangle.png,0,6,6,3,25.21794629299984,,,,,,,,,25.173879989000852,25.21794629299984,26.210690939002234,28.16227507900112,28.16227507900112,28.479272594999202,space,0.31495777099917177,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
25,low,0.05,0.5,1.5,circle,./stimuli/circle.png,0,7,7,24,28.520490915001574,,,,,,,,,28.479706130001432,28.520490915001574,29.512010603000817,29.973973340001976,29.973973340001976,30.341379663001135,space,0.3597923899978923,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
28,low,0.05,2,3,circle,./stimuli/circle.png,0,8,8,27,30.37122320799972,,,,,,,,,30.34181587800049,30.37122320799972,31.362386527001945,33.33071827200183,33.33071827200183,33.62565614900086,space,0.2874327009994886,None,,,,,,,S2,2023-10-24_12h19.17.565,example_experiment,2023.2.3,None,2023-10-24 12h19.38.175207 +0300,
